Player,Pos,Team,GP,GS,MIN,PTS,AST,STL,BLK,TOV,REB,OREB,DREB,FGM,FG%,3PTM,FT%,FTM,Cash2023,Age
Jayson Tatum,PF,BOS,74,74,"2,732","2,225",342,78,51,213,649,78,571,727,46.6,240,35,531,"$32,600,060 ",24
Joel Embiid,C,PHI,66,66,"2,284","2,183",274,66,112,226,670,113,557,728,54.8,66,33,661,"$47,607,350 ",28
Giannis Antetokounmpo,PF,MIL,63,63,"2,023","1,959",359,52,51,246,742,137,605,707,55.3,47,27.5,498,"$45,640,084 ",28
Julius Randle,PF,NYK,77,77,"2,737","1,936",316,49,21,216,767,141,626,658,45.9,218,34.3,402,"$25,660,800 ",28
DeMar DeRozan,SF,CHI,74,74,"2,681","1,816",377,83,36,153,343,34,309,657,50.4,46,32.4,456,"$28,600,000 ",33
Jaylen Brown,SF,BOS,67,67,"2,404","1,784",232,75,26,197,459,78,381,679,49.1,163,33.5,263,"$28,508,929 ",26
Pascal Siakam,PF,TOR,71,71,"2,651","1,720",415,65,36,169,556,131,425,630,48,93,32.4,367,"$37,893,408 ",28
Lauri Markkanen,PF,UTA,66,66,"2,272","1,691",123,42,38,127,570,130,440,571,49.9,200,39.1,349,"$17,259,999 ",25
Nikola Jokic,C,DEN,69,69,"2,323","1,690",678,87,47,247,817,167,650,646,63.2,57,38.3,341,"$47,607,350 ",27
Mikal Bridges,SF,BKN,83,83,"2,950","1,671",273,91,61,127,364,79,285,593,46.8,169,38.2,316,"$21,700,000 ",26
LeBron James,PF,LAL,55,54,"1,953","1,590",375,50,32,178,457,65,392,609,50,121,32.1,251,"$47,607,350 ",38
Bam Adebayo,C,MIA,75,75,"2,598","1,529",240,88,61,187,688,184,504,602,54,1,8.3,324,"$32,600,060 ",25
Domantas Sabonis,PF,SAC,79,79,"2,735","1,510",573,65,39,230,973,251,722,577,61.5,31,37.3,325,"$19,400,000 ",26
Kristaps Porzingis,PF,WAS,65,65,"2,119","1,505",174,58,100,137,546,114,432,507,49.8,137,38.5,354,"$36,016,200 ",27
Franz Wagner,SF,ORL,80,80,"2,608","1,485",283,77,17,167,329,70,259,542,48.5,130,36.1,271,"$5,508,720 ",21
Jimmy Butler,SF,MIA,64,64,"2,138","1,466",340,117,21,101,375,141,234,479,53.9,36,35,472,"$45,183,960 ",33
Anthony Davis,C,LAL,56,54,"1,904","1,451",148,59,114,122,702,195,507,542,56.3,19,25.7,348,"$40,600,080 ",29
Nikola Vucevic,C,CHI,82,82,"2,746","1,447",265,60,57,139,903,159,744,597,52,121,34.9,132,"$18,518,519 ",32
Paolo Banchero,PF,ORL,72,72,"2,429","1,437",269,60,39,200,497,84,413,479,42.7,85,29.8,394,"$11,608,080 ",20
Keldon Johnson,SF,SAS,63,63,"2,063","1,385",183,46,11,134,318,56,262,503,45.2,134,32.9,245,"$20,000,000 ",23
Kevin Durant,SF,PHX,47,47,"1,671","1,366",235,34,67,156,313,17,296,483,56,93,40.4,307,"$46,407,433 ",34
Kyle Kuzma,SF,WAS,64,64,"2,238","1,357",239,36,29,190,464,56,408,512,44.8,160,33.3,173,"$25,568,182 ",27
